Please provide hourly results in ug/m3 of PM 10 monitoring conducted in Dublin City in a tabular format by completing the table below. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please provide a flag number (see comment for list) for the data entered if possible. The comment field is optional.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If any new stations have been added to the network please give details (scroll across). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please indicate if any of the stations listed below have been reomved from the network.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dublin City Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Marino,,,Coleraine St.,,,Phoenix Park,,,Wood Quay (Winetavern St.),,,Rathmines,,,Ballyfermot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,PM2.5(µg m-3),Flag,Comment ,PM2.5 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Feb-11,7.2,1,,data missing,5,,data missing,6,,14.2,1,,12.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Feb-11,10.3,1,,48.1,1,,9.1,1,,9.7,1,,9.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Feb-11,8.3,1,,9.2,1,,19.8,1,,13.6,1,,19.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Feb-11,7.9,1,,12.3,1,,19.3,1,,13.5,1,,12.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-11,6.4,1,,13.8,1,,12.9,1,,19.3,1,,15.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Feb-11,8.7,1,,14.9,1,,21.3,1,,17.1,1,,21.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Feb-11,6.1,1,,10.5,1,,8.6,1,,12.1,1,,data missing,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb-11,5.4,1,,6.5,1,,19.1,1,,10.4,1,,11.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Feb-11,4.7,1,,11,1,,13.6,1,,17.5,1,,19.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Feb-11,10.6,1,,76,1,,18.5,1,,20.8,1,,26.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
